Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,7.116786003112793,7.1521430015563965,4.505000114440918,4.834286212921143,4.08243465423584,35173888400
2008-02-01,4.865714073181152,4.878213882446289,4.122857093811035,4.465000152587891,3.7705819606781006,24865954400
2008-03-01,4.444285869598389,5.204999923706055,4.214285850524902,5.125,4.327937126159668,22927273600
2008-04-01,5.224999904632568,6.4285712242126465,5.128929138183594,6.212500095367432,5.246303081512451,22786982400
2008-05-01,6.248570919036865,6.865714073181152,6.142857074737549,6.7410712242126465,5.692666530609131,18588214400
2008-06-01,6.735713958740234,6.783928871154785,5.862500190734863,5.980000019073486,5.049962520599365,19475794800
2008-07-01,5.865356922149658,6.461071014404297,5.233213901519775,5.676785945892334,4.793907642364502,19749760800
2008-08-01,5.710713863372803,6.444643020629883,5.461071014404297,6.054643154144287,5.112996578216553,13085755200
2008-09-01,6.1571431159973145,6.1964287757873535,3.5924999713897705,4.059286117553711,3.427966833114624,24067562400
2008-10-01,3.997143030166626,4.1571431159973145,3.0357139110565186,3.8424999713897705,3.244896411895752,41426711200
2008-11-01,3.7832140922546387,3.992500066757202,2.8264288902282715,3.309643030166626,2.7949113845825195,23619461600
2008-12-01,3.260714054107666,3.700000047683716,3.0196430683135986,3.0482139587402344,2.574141502380371,20213846800
2009-01-01,3.067142963409424,3.4703569412231445,2.7928569316864014,3.2189290523529053,2.718306541442871,18105740800
2009-02-01,3.182142972946167,3.6785709857940674,3.0896430015563965,3.189642906188965,2.693575382232666,13867450800
2009-03-01,3.1471428871154785,3.927856922149658,2.940356969833374,3.754286050796509,3.1704015731811523,15424598000
2009-04-01,3.7174999713897705,4.5428571701049805,3.7103569507598877,4.493928909301758,3.7950124740600586,11821681200
2009-05-01,4.492856979370117,4.853570938110352,4.263570785522461,4.8503570556640625,4.096006870269775,9457142800
2009-06-01,4.873929023742676,5.228570938110352,4.74571418762207,5.086785793304443,4.295665740966797,12675572000
2009-07-01,5.125,5.892857074737549,4.800714015960693,5.835357189178467,4.92781400680542,10942136800
2009-08-01,5.900356769561768,6.1603569984436035,5.693571090698242,6.007500171661377,5.07318639755249,8165124800
2009-09-01,5.999642848968506,6.746428966522217,5.8610711097717285,6.619643211364746,5.590124130249023,9989319200
2009-10-01,6.619643211364746,7.4539289474487305,6.45357084274292,6.732142925262451,5.685129642486572,12956176800
2009-11-01,6.778571128845215,7.4285712242126465,6.627500057220459,7.13964319229126,6.029252529144287,8454784800
2009-12-01,7.2228569984436035,7.64107084274292,6.7385711669921875,7.526071071624756,6.355581283569336,11393958800
2010-01-01,7.622499942779541,7.699643135070801,6.794642925262451,6.859285831451416,5.792497158050537,15168994400
2010-02-01,6.870357036590576,7.327499866485596,6.816071033477783,7.307857036590576,6.171303749084473,10776080000
2010-03-01,7.348214149475098,8.481429100036621,7.337500095367432,8.39285659790039,7.087559700012207,12154172800
2010-04-01,8.478928565979004,9.730713844299316,8.3125,9.3246431350708,7.8744282722473145,12367129600
2010-05-01,9.422857284545898,9.567143440246582,7.1160712242126465,9.174285888671875,7.747459411621094,18082654800
2010-06-01,9.274642944335938,9.964642524719238,8.649999618530273,8.983214378356934,7.586103439331055,16651252800
2010-07-01,9.08214282989502,9.499643325805664,8.557143211364746,9.1875,7.7586140632629395,15669704400
2010-08-01,9.30142879486084,9.438570976257324,8.412857055664062,8.682143211364746,7.3318562507629395,9589120800
2010-09-01,8.838213920593262,10.526070594787598,8.795714378356934,10.133929252624512,8.557851791381836,11849919200
